fecha,codigo_gps,coordenada_completa,longitug,latitud,fn_valor_pastoral
12/2016,CPI T25,-67.6819531/-43.9600646,-67.6819531,-43.9600646,"11,40"
12/2015,CT T01,-65.9865156/-42.7808681,-65.9865156,-42.7808681,"0,00"
11/2016,CT T01,-65.9865156/-42.7808681,-65.9865156,-42.7808681,"11,00"
12/2015,CT T02,-66.0723216/-42.745209,-66.0723216,-42.745209,"10,40"
11/2016,CT T02,-66.0723216/-42.745209,-66.0723216,-42.745209,"8,20"
12/2015,CT T03,-66.1789468/-42.70367,-66.1789468,-42.70367,"5,20"
11/2016,CT T03,-66.1789468/-42.70367,-66.1789468,-42.70367,"12,60"
12/2015,CT T04,-66.2650973/-42.6685643,-66.2650973,-42.6685643,"6,20"
11/2016,CT T04,-66.2650973/-42.6685643,-66.2650973,-42.6685643,"17,80"
12/2015,CT T05,-66.3562885/-42.6337209,-66.3562885,-42.6337209,"12,80"
11/2016,CT T05,-66.3562885/-42.6337209,-66.3562885,-42.6337209,"12,80"
12/2015,CT T06,-66.450516/-42.6296147,-66.450516,-42.6296147,"12,00"
11/2016,CT T06,-66.450516/-42.6296147,-66.450516,-42.6296147,"23,80"
12/2015,CT T07,-66.516763/-42.5948521,-66.516763,-42.5948521,"7,80"
11/2016,CT T07,-66.516763/-42.5948521,-66.516763,-42.5948521,"18,00"
12/2015,CT T08,-66.566499/-42.5593365,-66.566499,-42.5593365,"8,40"
11/2016,CT T08,-66.566499/-42.5593365,-66.566499,-42.5593365,"29,40"
12/2015,CT T09,-66.6527669/-42.5253589,-66.6527669,-42.5253589,"15,60"
11/2016,CT T09,-66.6527669/-42.5253589,-66.6527669,-42.5253589,"17,00"
12/2015,CT T10,-66.74786/-42.5177677,-66.74786,-42.5177677,"4,80"
11/2016,CT T10,-66.74786/-42.5177677,-66.74786,-42.5177677,"17,80"
12/2015,CT T11,-66.8306469/-42.4794786,-66.8306469,-42.4794786,"4,40"
11/2016,CT T11,-66.8306469/-42.4794786,-66.8306469,-42.4794786,"10,40"
12/2015,CT T12,-66.9172531/-42.4457467,-66.9172531,-42.4457467,"9,40"
11/2016,CT T12,-66.9172531/-42.4457467,-66.9172531,-42.4457467,"14,80"
12/2015,CT T13,-67.0167955/-42.4475389,-67.0167955,-42.4475389,"4,40"
11/2016,CT T13,-67.0167955/-42.4475389,-67.0167955,-42.4475389,"9,80"
12/2015,CT T14,-67.1101317/-42.4559747,-67.1101317,-42.4559747,"12,60"
11/2016,CT T14,-67.1101317/-42.4559747,-67.1101317,-42.4559747,"17,00"
12/2015,CT T15,-67.2010943/-42.4402247,-67.2010943,-42.4402247,"2,60"
11/2016,CT T15,-67.2010943/-42.4402247,-67.2010943,-42.4402247,"16,60"
12/2015,CT T16,-67.2927362/-42.4202116,-67.2927362,-42.4202116,"1,00"
11/2016,CT T16,-67.2927362/-42.4202116,-67.2927362,-42.4202116,"14,40"
12/2015,CT T17,-67.3683983/-42.3818189,-67.3683983,-42.3818189,"0,40"
11/2016,CT T17,-67.3683983/-42.3818189,-67.3683983,-42.3818189,"12,60"
12/2015,CT T18,-67.4637046/-42.3658195,-67.4637046,-42.3658195,"2,60"
11/2016,CT T18,-67.4637046/-42.3658195,-67.4637046,-42.3658195,"14,00"
11/2015,CT T19,-67.5599729/-42.3676237,-67.5599729,-42.3676237,"1,20"
11/2016,CT T19,-67.5599729/-42.3676237,-67.5599729,-42.3676237,"10,80"
11/2015,CT T20,-67.6564165/-42.3666744,-67.6564165,-42.3666744,"1,40"
11/2016,CT T20,-67.6564165/-42.3666744,-67.6564165,-42.3666744,"15,60"
11/2015,CT T21,-67.7426556/-42.4041318,-67.7426556,-42.4041318,"1,80"
11/2016,CT T21,-67.7426556/-42.4041318,-67.7426556,-42.4041318,"15,00"
11/2015,CT T22,-67.8193208/-42.4495707,-67.8193208,-42.4495707,"0,00"
11/2016,CT T22,-67.8193208/-42.4495707,-67.8193208,-42.4495707,"4,20"
11/2015,CT T23,-67.9014235/-42.4909961,-67.9014235,-42.4909961,"0,60"
11/2016,CT T23,-67.9014235/-42.4909961,-67.9014235,-42.4909961,"3,40"
11/2015,CT T24,-67.9922728/-42.5197404,-67.9922728,-42.5197404,"3,80"
11/2016,CT T24,-67.9922728/-42.5197404,-67.9922728,-42.5197404,"13,00"
11/2015,CT T25,-68.0889293/-42.5306014,-68.0889293,-42.5306014,"2,00"
11/2016,CT T25,-68.0889293/-42.5306014,-68.0889293,-42.5306014,"7,20"
01/2016,CT2 T01,-67.9595505/-42.845296,-67.9595505,-42.845296,"3,40"
01/2017,CT2 T01,-67.9595505/-42.845296,-67.9595505,-42.845296,"2,60"
01/2016,CT2 T02,-68.0165657/-42.8098792,-68.0165657,-42.8098792,"7,60"
01/2017,CT2 T02,-68.0165657/-42.8098792,-68.0165657,-42.8098792,"7,60"
01/2016,CT2 T03,-68.053823/-42.7533165,-68.053823,-42.7533165,"4,00"
01/2017,CT2 T03,-68.053823/-42.7533165,-68.053823,-42.7533165,"5,40"
01/2016,CT2 T04,-68.0694247/-42.6907972,-68.0694247,-42.6907972,"3,40"
01/2017,CT2 T04,-68.0694247/-42.6907972,-68.0694247,-42.6907972,"10,00"
01/2016,CT2 T05,-68.0733333/-42.6276644,-68.0733333,-42.6276644,"2,00"
01/2017,CT2 T05,-68.0733333/-42.6276644,-68.0733333,-42.6276644,"16,60"
01/2016,CT2 T06,-68.1302374/-42.5725274,-68.1302374,-42.5725274,"6,20"
01/2017,CT2 T06,-68.1302374/-42.5725274,-68.1302374,-42.5725274,"13,20"
01/2016,CT2 T07,-68.2104051/-42.5299848,-68.2104051,-42.5299848,"6,60"
01/2017,CT2 T07,-68.2104051/-42.5299848,-68.2104051,-42.5299848,"9,80"
01/2016,CT2 T08,-68.2688529/-42.54953,-68.2688529,-42.54953,"3,20"
01/2017,CT2 T08,-68.2688529/-42.54953,-68.2688529,-42.54953,"7,00"
01/2016,CT2 T09,-68.2660881/-42.6173623,-68.2660881,-42.6173623,"2,00"
01/2017,CT2 T09,-68.2660881/-42.6173623,-68.2660881,-42.6173623,"5,20"
01/2016,CT2 T10,-68.2262899/-42.666372,-68.2262899,-42.666372,"4,00"
01/2017,CT2 T10,-68.2262899/-42.666372,-68.2262899,-42.666372,"11,40"
01/2016,CT2 T11,-68.2638269/-42.7218678,-68.2638269,-42.7218678,"3,00"
01/2017,CT2 T11,-68.2638269/-42.7218678,-68.2638269,-42.7218678,"9,60"
01/2016,CT2 T12,-68.2247554/-42.7672075,-68.2247554,-42.7672075,"10,40"
01/2017,CT2 T12,-68.2247554/-42.7672075,-68.2247554,-42.7672075,"10,40"
01/2016,CT2 T13,-68.1792331/-42.8093797,-68.1792331,-42.8093797,"5,00"
01/2017,CT2 T13,-68.1792331/-42.8093797,-68.1792331,-42.8093797,"7,00"
01/2016,CT2 T14,-68.1024761/-42.8341345,-68.1024761,-42.8341345,"11,60"
01/2017,CT2 T14,-68.1024761/-42.8341345,-68.1024761,-42.8341345,"13,00"
01/2016,CT2 T15,-68.0472067/-42.8759968,-68.0472067,-42.8759968,"4,00"
01/2017,CT2 T15,-68.0472067/-42.8759968,-68.0472067,-42.8759968,"2,60"
01/2016,CT2 T16,-67.978766/-42.8729725,-67.978766,-42.8729725,"7,80"
01/2017,CT2 T16,-67.978766/-42.8729725,-67.978766,-42.8729725,"9,80"
02/2016,CT2 T17,-66.7515565/-42.5272066,-66.7515565,-42.5272066,"9,20"
01/2017,CT2 T17,-66.7515565/-42.5272066,-66.7515565,-42.5272066,"5,80"
02/2016,CT2 T18,-66.8109092/-42.5311179,-66.8109092,-42.5311179,"12,80"
01/2017,CT2 T18,-66.8109092/-42.5311179,-66.8109092,-42.5311179,"12,20"
02/2016,CT2 T19,-66.8353454/-42.564815,-66.8353454,-42.564815,"8,00"
01/2017,CT2 T19,-66.8353454/-42.564815,-66.8353454,-42.564815,"7,80"
02/2016,CT2 T20,-66.8533072/-42.596454,-66.8533072,-42.596454,"12,60"
01/2017,CT2 T20,-66.8533072/-42.596454,-66.8533072,-42.596454,"7,80"
02/2016,CT2 T21,-65.9446227/-42.6019474,-65.9446227,-42.6019474,"14,60"
01/2017,CT2 T21,-65.9446227/-42.6019474,-65.9446227,-42.6019474,"15,40"
02/2016,CT2 T22,-65.9904844/-42.577312,-65.9904844,-42.577312,"9,00"
01/2017,CT2 T22,-65.9904844/-42.577312,-65.9904844,-42.577312,"11,20"
02/2016,CT2 T23,-66.0338334/-42.5443476,-66.0338334,-42.5443476,"14,00"
01/2017,CT2 T23,-66.0338334/-42.5443476,-66.0338334,-42.5443476,"13,00"
02/2016,CT2 T24,-66.082257/-42.5184357,-66.082257,-42.5184357,"17,00"
01/2017,CT2 T24,-66.082257/-42.5184357,-66.082257,-42.5184357,"11,40"
02/2016,CT2 T25,-66.1336747/-42.4956508,-66.1336747,-42.4956508,"6,00"
01/2017,CT2 T25,-66.1336747/-42.4956508,-66.1336747,-42.4956508,"15,80"
