fecha,codigo_gps,coordenada_completa,longitug,latitud,fn_valor_pastoral
01/2017,CG2 T11,-68.5056329/-42.9243643,-68.5056329,-42.9243643,"7,00"
01/2016,CG2 T12,-68.5777976/-42.9599198,-68.5777976,-42.9599198,"3,20"
01/2017,CG2 T12,-68.5777976/-42.9599198,-68.5777976,-42.9599198,"3,60"
01/2016,CG2 T13,-68.5559343/-43.1003331,-68.5559343,-43.1003331,"3,80"
01/2017,CG2 T13,-68.5559343/-43.1003331,-68.5559343,-43.1003331,"12,00"
01/2016,CG2 T14,-68.5151248/-43.1373685,-68.5151248,-43.1373685,"8,80"
01/2017,CG2 T14,-68.5151248/-43.1373685,-68.5151248,-43.1373685,"6,40"
01/2016,CG2 T15,-68.4789688/-43.1937855,-68.4789688,-43.1937855,"1,80"
01/2017,CG2 T15,-68.4789688/-43.1937855,-68.4789688,-43.1937855,"4,00"
01/2016,CG2 T16,-68.4251657/-43.2460598,-68.4251657,-43.2460598,"10,20"
01/2017,CG2 T16,-68.4251657/-43.2460598,-68.4251657,-43.2460598,"13,80"
01/2016,CG2 T17,-68.3739778/-43.2667895,-68.3739778,-43.2667895,"3,80"
01/2017,CG2 T17,-68.3739778/-43.2667895,-68.3739778,-43.2667895,"10,40"
01/2016,CG2 T18,-68.2809332/-43.2509231,-68.2809332,-43.2509231,"1,40"
01/2017,CG2 T18,-68.2809332/-43.2509231,-68.2809332,-43.2509231,"13,80"
01/2016,CG2 T19,-68.1842385/-43.2521253,-68.1842385,-43.2521253,"7,40"
01/2017,CG2 T19,-68.1842385/-43.2521253,-68.1842385,-43.2521253,"12,00"
01/2016,CG2 T20,-68.1224575/-43.271056,-68.1224575,-43.271056,"4,60"
01/2017,CG2 T20,-68.1224575/-43.271056,-68.1224575,-43.271056,"7,40"
01/2016,CG2 T21,-68.0448458/-43.299103,-68.0448458,-43.299103,"3,20"
01/2017,CG2 T21,-68.0448458/-43.299103,-68.0448458,-43.299103,"10,00"
01/2016,CG2 T22,-67.9733156/-43.3112986,-67.9733156,-43.3112986,"1,40"
01/2017,CG2 T22,-67.9733156/-43.3112986,-67.9733156,-43.3112986,"6,40"
01/2016,CG2 T23,-67.8841952/-43.3139973,-67.8841952,-43.3139973,"6,80"
01/2017,CG2 T23,-67.8841952/-43.3139973,-67.8841952,-43.3139973,"10,00"
01/2016,CG2 T24,-67.8198667/-43.3121888,-67.8198667,-43.3121888,"2,60"
01/2017,CG2 T24,-67.8198667/-43.3121888,-67.8198667,-43.3121888,"13,80"
01/2016,CG2 T25,-67.7707131/-43.2981952,-67.7707131,-43.2981952,"4,00"
01/2017,CG2 T25,-67.7707131/-43.2981952,-67.7707131,-43.2981952,"14,40"
12/2015,CM T01,-67.3195265/-43.7885166,-67.3195265,-43.7885166,"1,00"
12/2016,CM T01,-67.3195265/-43.7885166,-67.3195265,-43.7885166,"7,80"
12/2015,CM T02,-67.3356713/-43.8373015,-67.3356713,-43.8373015,"0,00"
